production_run_id,date,plant_id,product_id,operator_id,quantity_produced,quantity_defective,downtime_minutes,energy_consumed_kwh
1,1/1/2024,2,6,5,102,5,18,83.73
2,1/1/2024,2,2,17,397,6,5,938.93
3,1/1/2024,4,1,13,188,2,103,3127.67
4,1/1/2024,5,3,11,4,0,8,295.28
5,1/1/2024,2,8,4,,17,4,82.64
6,1/1/2024,2,8,17,1014,3,11,114.79
7,1/2/2024,2,2,8,317,7,4,731.59
8,1/2/2024,4,1,9,152,2,6,2475.32
9,1/2/2024,4,10,15,237,5,55,1440.28
10,1/2/2024,2,8,8,655,10,15,69.87
11,1/2/2024,2,8,19,820,4,3,65.48
12,1/3/2024,3,7,14,14,0,3,189.82
13,1/3/2024,3,5,8,207,4,14,155.39
14,1/3/2024,1,4,18,210,2,92,1013.15
15,1/3/2024,2,2,14,398,11,239,1096.79
16,1/3/2024,4,10,15,163,4,15,965.44
17,1/3/2024,3,5,2,261,6,344,460.87
18,1/4/2024,2,2,17,346,5,7,810.25
19,1/4/2024,5,2,19,425,6,16,991.7
20,1/4/2024,3,5,11,,3,10,188.36
21,1/4/2024,1,1,15,160,3,16,2593.41
22,1/4/2024,3,5,8,240,6,19,208.55
23,1/4/2024,5,2,18,338,5,3,808.49
24,1/4/2024,5,2,9,371,4,8,871.37
25,1/5/2024,1,1,14,142,4,14,2315.27
26,1/5/2024,4,1,4,184,5,4,2974.39
27,1/5/2024,1,4,12,270,9,13,1206.85
28,1/5/2024,2,2,6,436,9,7,1007.27
29,1/5/2024,1,4,2,335,8,9,1473.77
30,1/6/2024,2,2,7,385,10,11,910.71
31,1/6/2024,4,10,1,186,2,10,1104.96
32,1/6/2024,5,2,13,450,4,16,1072.32
33,1/6/2024,5,2,12,261,10,3,628.44
34,1/7/2024,5,3,14,4,0,12,286.69
35,1/7/2024,2,8,19,709,2,13,94.37
36,1/7/2024,5,3,15,4,0,5,280.35
37,1/7/2024,3,9,20,,11,7,63.18
38,1/7/2024,2,2,2,,9,257,1036.3
39,1/8/2024,2,8,13,798,2,99,168.22
40,1/8/2024,2,2,17,391,6,4,925.01
41,1/8/2024,5,3,15,5,0,17,341.44
42,1/8/2024,2,8,16,758,16,16,87.66
43,1/8/2024,2,6,15,101,4,17,69.75
44,1/8/2024,2,2,13,468,4,17,1095.24
45,1/8/2024,1,1,14,131,4,339,2392.42
46,1/9/2024,3,7,13,13,0,7,197.63
47,1/9/2024,3,7,16,12,0,5,197.62
48,1/9/2024,2,8,18,639,2,264,264.97
49,1/10/2024,2,2,9,384,4,12,894.73
50,1/10/2024,4,10,3,193,3,7,1151.36
51,1/10/2024,1,1,8,134,3,6,2177.4
52,1/10/2024,3,7,6,18,0,18,250.43
53,1/10/2024,3,9,13,906,0,20,53.83
54,1/10/2024,3,9,20,1017,14,2,52.18
55,1/11/2024,1,4,16,361,11,16,1595.67
56,1/11/2024,3,9,18,1132,6,10,74.71
57,1/11/2024,1,4,15,263,7,0,1147.52
58,1/11/2024,3,5,16,158,4,8,133.43
59,1/11/2024,5,2,3,355,7,15,846.59
60,1/12/2024,4,1,3,136,2,11,2213.73
61,1/12/2024,5,3,14,,0,6,267.42
62,1/12/2024,5,2,7,343,10,16,818.42
63,1/12/2024,1,1,10,137,1,8,2210.22
64,1/12/2024,1,7,10,15,0,0,220.46
65,1/12/2024,4,10,15,198,5,18,1200.87
66,1/13/2024,2,2,18,469,7,16,1093.27
67,1/13/2024,4,10,19,215,3,6,1276.07
68,1/13/2024,3,9,3,893,8,275,275.43
69,1/14/2024,3,5,8,230,6,164,316.16
70,1/14/2024,5,2,14,348,9,4,799.06
71,1/14/2024,2,6,20,137,5,9,103.41
72,1/14/2024,3,9,18,998,1,10,62.11
73,1/14/2024,1,1,8,208,6,8,3367.45
74,1/14/2024,2,6,17,175,5,20,132.94
75,1/15/2024,4,10,14,173,5,15,1028.28
76,1/15/2024,4,1,15,128,3,16,2103.8
77,1/15/2024,1,7,18,14,0,15,222.02
78,1/16/2024,2,6,18,103,3,0,92.7
79,1/16/2024,5,2,6,387,8,3,909.06
80,1/16/2024,2,6,10,120,4,7,84.87
81,1/17/2024,4,1,20,152,3,13,2466
82,1/17/2024,5,3,1,4,0,15,296.61
83,1/17/2024,4,10,12,163,6,6,991.28
84,1/17/2024,2,8,13,555,0,12,68.34
85,1/18/2024,4,1,5,150,5,14,2425.19
86,1/18/2024,4,1,5,139,4,8,2253.94
87,1/18/2024,4,1,11,143,2,17,2313.04
88,1/18/2024,1,1,10,147,2,14,2379.85
89,1/19/2024,1,1,11,166,2,16,2695.28
90,1/19/2024,2,2,6,416,9,14,982.72
91,1/19/2024,4,10,1,238,2,2,1397.77
92,1/19/2024,3,9,10,,4,6,76.01
93,1/19/2024,4,1,8,142,3,0,2321.12
94,1/20/2024,3,5,19,344,6,7,246.28
95,1/20/2024,3,5,7,274,8,4,202.73
96,1/20/2024,1,4,15,243,5,10,1080.65
97,1/20/2024,2,2,5,372,11,15,897.7
98,1/20/2024,3,9,11,1147,3,7,72.95
99,1/20/2024,4,10,3,203,4,18,1206.89
100,1/21/2024,1,7,8,14,0,19,209.05
101,1/21/2024,1,7,15,17,0,1,235.47
102,1/21/2024,4,1,4,127,3,17,2072.37
103,1/21/2024,2,6,4,146,7,11,89.54
104,1/21/2024,4,1,12,227,8,6,3685.53
105,1/22/2024,1,7,7,16,0,7,255.15
106,1/22/2024,5,2,3,476,10,7,1099.74
107,1/22/2024,2,8,1,869,3,11,102.54
108,1/22/2024,2,8,11,667,2,274,300.34
109,1/22/2024,5,2,15,407,9,16,950.62
110,1/22/2024,1,1,16,173,4,14,2792.14
111,1/23/2024,3,9,5,,19,10,50.14
112,1/23/2024,5,3,15,5,0,20,352.04
113,1/23/2024,5,2,14,393,11,13,933.83
114,1/24/2024,4,10,9,192,3,88,1188.13
115,1/24/2024,1,7,12,17,0,10,257.3
116,1/24/2024,4,10,14,181,5,7,1090.24
117,1/24/2024,3,9,12,862,22,17,79.82
118,1/24/2024,5,2,20,370,9,10,864.54
119,1/25/2024,2,8,13,810,1,9,94.66
120,1/25/2024,5,2,2,389,9,6,920.25
121,1/25/2024,1,4,14,206,6,9,894.52
1,1/1/2024,2,6,5,102,5,18,83.73
123,1/26/2024,2,6,18,132,4,2,83.58
124,1/26/2024,1,4,1,296,3,12,1305.98
125,1/26/2024,4,10,4,193,5,3,1131.88
126,1/26/2024,5,3,17,5,0,103,413.62
127,1/27/2024,3,7,5,13,0,20,191.51
128,1/27/2024,4,10,19,224,4,20,1353.46
129,1/27/2024,3,9,11,978,4,304,275.73
130,1/27/2024,4,10,2,247,5,17,1482.02
131,1/28/2024,4,1,11,158,2,10,2585.3
132,1/28/2024,1,7,6,15,0,10,232.66
133,1/28/2024,1,7,11,15,0,19,247.63
134,1/29/2024,1,7,5,17,0,4,249.5
135,1/29/2024,1,4,18,254,4,16,1106.04
136,1/29/2024,4,10,1,191,1,15,1127.93
137,1/29/2024,2,2,3,300,6,16,699.31
138,1/29/2024,3,9,5,1029,20,19,78.14
139,1/30/2024,4,1,14,,4,14,2126.56
140,1/30/2024,2,6,16,135,6,14,97.04
141,1/30/2024,3,7,17,18,0,4,273.12
142,1/30/2024,1,7,16,18,0,3,248.8
143,1/31/2024,3,7,17,12,0,14,206.59
144,1/31/2024,1,4,2,287,6,7,1236.48
145,1/31/2024,1,7,11,16,0,4,243.55
146,1/31/2024,4,10,20,123,2,16,746.98
147,2/1/2024,2,6,4,95,4,3,86.24
148,2/1/2024,4,1,17,160,2,225,2759.62
149,2/1/2024,4,1,3,151,3,16,2460.97
150,2/1/2024,4,10,2,222,5,18,1330.31
151,2/1/2024,3,5,2,235,5,14,201.43
152,2/2/2024,2,2,3,372,7,15,869.13
153,2/2/2024,2,6,12,126,7,12,102.88
154,2/2/2024,4,10,6,199,4,2,1184.93
155,2/2/2024,1,4,20,282,6,14,1243.8
156,2/2/2024,4,1,15,144,4,13,2335.38
157,2/2/2024,1,1,13,123,1,4,2015.15
158,2/3/2024,1,1,3,121,2,1,1971
159,2/3/2024,4,10,12,196,7,10,1170.98
160,2/3/2024,2,2,1,448,5,8,1055.4
161,2/3/2024,4,1,20,149,3,14,2445.09
162,2/3/2024,3,9,12,1119,29,5,64.85
163,2/3/2024,2,6,17,,4,18,94.83
164,2/4/2024,2,8,3,651,8,13,90.23
165,2/4/2024,5,2,5,383,11,17,910.94
166,2/4/2024,2,2,14,402,12,9,928.29
167,2/4/2024,3,9,8,824,13,9,58.26
168,2/4/2024,1,7,6,15,0,19,226.2
169,2/4/2024,5,2,1,437,4,19,1034.01
170,2/4/2024,4,10,10,195,3,2,1160.39
171,2/5/2024,4,10,16,197,5,10,1180.12
172,2/5/2024,3,7,5,17,0,3,235.6
173,2/5/2024,2,2,4,464,14,10,1099.35
174,2/5/2024,3,5,6,249,4,0,163
175,2/6/2024,5,3,8,4,0,20,292.9
176,2/6/2024,3,9,1,1156,4,12,57.36
177,2/6/2024,4,1,19,153,2,14,2499.78
178,2/6/2024,3,9,20,866,11,4,38.48
179,2/6/2024,5,3,17,6,0,16,388.39
180,2/6/2024,5,3,6,4,0,16,295.93
181,2/7/2024,4,10,16,,6,18,1330.46
182,2/7/2024,1,7,16,12,0,7,194.46
183,2/7/2024,5,3,6,5,0,7,316.86
184,2/7/2024,1,1,1,146,1,16,2389.8
185,2/7/2024,4,1,5,151,5,12,2448.15
186,2/7/2024,2,6,18,112,3,20,105.75
187,2/7/2024,3,9,16,894,18,9,65.93
188,2/8/2024,4,10,16,220,6,12,1320.43
189,2/8/2024,4,10,5,184,6,14,1105.44
190,2/8/2024,4,1,7,167,5,3,2709.03
191,2/8/2024,5,2,8,363,8,15,842.77
192,2/9/2024,1,7,6,9,0,6,157.54
193,2/9/2024,3,7,10,21,0,17,315.65
194,2/9/2024,1,1,14,167,5,12,2723.12
195,2/9/2024,2,8,10,815,7,20,96.63
196,2/10/2024,2,8,15,555,8,20,69.59
197,2/10/2024,2,2,11,469,8,20,1117.13
198,2/10/2024,4,10,3,194,4,7,1131.37
199,2/10/2024,4,1,15,122,2,7,1970.08
200,2/10/2024,1,4,10,216,4,9,962.81
201,2/10/2024,3,7,20,14,0,17,235.11
202,2/11/2024,2,2,20,381,8,1,901.2
203,2/11/2024,5,2,19,404,7,6,952.48
204,2/11/2024,4,1,17,,1,18,2378.71
205,2/11/2024,4,10,1,170,2,1,1005.25
206,2/11/2024,1,7,2,13,0,20,227.05
207,2/11/2024,3,7,15,13,0,20,222.91
208,2/11/2024,1,1,18,145,2,0,2369.14
209,2/12/2024,5,3,18,4,0,6,292.3
210,2/12/2024,1,1,14,219,7,2,3519.64
211,2/12/2024,1,4,20,403,9,269,1947.32
212,2/12/2024,2,2,5,400,13,10,941.1
213,2/12/2024,3,5,10,252,3,18,210.79
214,2/12/2024,2,8,14,812,15,12,99.75
215,2/13/2024,4,10,5,187,6,7,1102.88
1,1/1/2024,2,6,5,102,5,18,83.73
217,2/13/2024,3,9,3,891,11,2,36.95
218,2/13/2024,5,2,16,363,11,15,875.33
219,2/13/2024,5,2,13,495,6,17,1163.3
220,2/14/2024,3,7,17,17,0,10,267.07
221,2/14/2024,3,7,14,15,0,6,215.49
222,2/14/2024,4,1,16,184,5,15,3004.66
223,2/14/2024,4,10,6,218,3,5,1304.18
224,2/14/2024,5,2,17,446,7,4,1017.07
225,2/15/2024,4,10,2,218,5,15,1276.13
226,2/15/2024,5,3,1,5,0,13,352.65
227,2/15/2024,2,2,4,403,11,11,936.24
228,2/15/2024,4,1,12,,6,9,2956.56
229,2/15/2024,1,7,2,12,0,49,227.31
230,2/15/2024,1,4,14,316,10,16,1402.57
231,2/15/2024,2,2,19,397,5,17,939.39
232,2/16/2024,2,6,1,147,4,128,197.43
233,2/16/2024,5,3,18,4,0,2,271.63
234,2/16/2024,3,5,4,224,6,19,175.47
235,2/17/2024,1,7,9,16,0,12,236.87
236,2/17/2024,5,3,3,5,0,182,461.77
237,2/17/2024,2,8,13,757,0,11,94.67
238,2/17/2024,1,1,3,128,2,0,2061.58
239,2/17/2024,5,2,20,414,9,12,982.27
231,2/15/2024,2,2,19,397,5,17,939.39
241,2/18/2024,2,6,9,115,3,7,93.31
242,2/18/2024,4,1,15,128,3,19,2088.4
243,2/18/2024,3,7,11,13,0,9,192.53
244,2/18/2024,2,6,11,103,3,20,89.42
245,2/18/2024,5,2,11,330,5,18,774.89
246,2/18/2024,5,2,18,457,7,2,1072.61
247,2/19/2024,4,1,10,120,2,2,1949.56
248,2/19/2024,5,3,19,4,0,17,265.07
249,2/19/2024,3,9,18,1282,2,11,51.09
250,2/19/2024,5,2,19,358,6,0,819.44
251,2/19/2024,2,8,17,838,1,14,102.37
252,2/19/2024,5,2,12,436,16,16,1023.12
253,2/20/2024,1,4,15,,7,10,1233.92
254,2/20/2024,2,8,8,807,12,14,78.89
255,2/20/2024,4,1,6,159,2,6,2576.78
256,2/20/2024,4,10,1,213,2,2,1259.44
1,1/1/2024,2,6,5,102,5,18,83.73
258,2/20/2024,3,9,13,1069,1,19,53.48
259,2/21/2024,5,2,5,374,11,4,875.13
260,2/21/2024,4,1,19,144,2,20,2367.23
261,2/21/2024,2,8,6,797,7,1,93.24
262,2/21/2024,1,4,5,261,8,13,1157.04
263,2/21/2024,4,10,16,160,5,1,941.79
264,2/22/2024,3,5,15,268,6,18,189.77
265,2/22/2024,5,3,18,5,0,20,356.05
266,2/22/2024,3,5,15,178,4,19,157.31
267,2/22/2024,2,8,5,946,20,5,83.71
268,2/22/2024,3,7,19,11,0,12,176.68
269,2/22/2024,5,3,14,4,0,12,280.22
270,2/22/2024,3,9,12,977,27,2,60.38
271,2/23/2024,3,5,18,291,3,17,221.32
231,2/15/2024,2,2,19,397,5,17,939.39
273,2/23/2024,3,9,6,1237,11,3,37.18
274,2/23/2024,4,1,5,157,4,220,2730.68
275,2/23/2024,4,1,16,123,3,10,2000.7
276,2/23/2024,3,5,13,321,3,4,208.54
277,2/24/2024,1,7,6,,0,13,220.04
278,2/24/2024,4,1,3,139,3,20,2253.37
279,2/24/2024,5,3,1,6,0,16,390.35
280,2/24/2024,4,10,2,270,6,7,1588.08
281,2/24/2024,5,2,17,379,5,13,887.77
282,2/24/2024,2,6,3,120,5,12,73.9
283,2/24/2024,5,2,9,347,5,20,833.99
284,2/25/2024,3,9,14,1385,24,13,52.74
285,2/25/2024,5,2,10,449,6,115,1140.31
286,2/25/2024,2,6,12,123,7,4,95.47
287,2/26/2024,1,1,11,166,2,18,2705.5
288,2/26/2024,4,10,17,185,2,8,1111.08
