po_id,date,supplier_id,material_id,quantity_ordered,unit_price,lead_time_days,is_delayed
1,1/1/2024,1,1,36606,1.513,1,0
2,1/2/2024,2,2,6963,2.794,10,0
3,1/3/2024,6,8,677,8.548,5,0
4,1/3/2024,2,6,49,42.898,4,0
5,1/3/2024,8,5,2033,3.939,,1
6,1/3/2024,6,10,471,3.155,7,0
7,1/4/2024,3,4,774,12.99,1,0
8,1/4/2024,8,9,36,119.319,10,0
9,1/5/2024,5,7,17676,0.736,11,0
10,1/5/2024,4,11,3360,1.891,12,0
11,1/5/2024,5,7,15425,0.809,27,1
12,1/5/2024,3,4,844,12.374,5,0
13,1/5/2024,2,6,106,46.732,10,0
14,1/6/2024,6,8,887,8.261,5,0
15,1/7/2024,4,10,643,3.519,,0
16,1/8/2024,7,2,5460,2.837,17,0
17,1/8/2024,8,5,2975,4.536,11,0
18,1/8/2024,5,3,2260,5.534,13,0
19,1/8/2024,7,2,6121,2.731,14,1
20,1/8/2024,5,7,17422,0.741,9,0
21,1/9/2024,1,1,55288,1.596,2,0
22,1/10/2024,4,4,1119,12.846,6,0
23,1/10/2024,4,11,2021,1.834,5,0
24,1/10/2024,2,6,92,43.886,5,0
25,1/12/2024,4,11,3513,1.915,9,0
26,1/12/2024,4,11,2312,1.806,4,0
27,1/13/2024,3,8,883,8.09,5,0
28,1/13/2024,5,7,13389,0.737,,0
29,1/13/2024,6,10,394,3.191,1,0
30,1/13/2024,2,6,86,41.937,5,0
31,1/14/2024,5,7,15523,0.707,17,0
32,1/15/2024,6,8,866,8.695,6,0
33,1/15/2024,8,9,57,122.447,14,0
34,1/15/2024,6,10,344,3.269,4,0
35,1/16/2024,5,3,2802,5.431,10,0
36,1/17/2024,5,3,1637,5.692,16,1
37,1/17/2024,3,4,1095,13.151,4,0
38,1/17/2024,4,11,3544,1.756,15,1
39,1/17/2024,5,3,1928,5.708,14,0
40,1/17/2024,6,10,353,3.296,9,1
41,1/18/2024,1,1,31004,1.493,3,0
42,1/19/2024,8,5,2758,4.331,13,0
43,1/20/2024,5,3,1351,5.668,15,1
44,1/23/2024,8,9,55,126.226,18,0
45,1/23/2024,8,9,51,122.869,16,0
46,1/24/2024,2,2,5319,2.917,10,0
47,1/24/2024,1,1,54095,1.474,4,0
48,1/25/2024,8,5,2128,4.435,16,0
49,1/25/2024,1,1,33777,1.527,2,0
50,1/25/2024,8,5,3060,4.011,16,0
51,1/26/2024,7,12,1597,4.321,22,1
52,1/26/2024,7,12,1240,4.559,,1
53,1/27/2024,1,1,46941,1.395,2,0
54,1/27/2024,2,6,49,43.503,6,0
55,1/27/2024,7,12,1539,4.795,22,1
56,1/27/2024,8,5,2414,4.25,11,0
57,1/28/2024,5,7,13095,0.707,8,0
58,1/28/2024,5,7,20074,0.769,17,0
59,1/29/2024,1,1,52456,1.443,3,0
60,1/29/2024,8,5,2283,4.527,19,1
61,1/29/2024,8,9,45,125.317,6,0
62,1/29/2024,7,2,5578,2.91,16,0
63,1/29/2024,6,10,571,3.136,2,0
64,1/30/2024,2,2,5242,2.748,9,0
65,1/30/2024,1,1,58090,1.512,1,0
66,1/31/2024,6,10,465,3.66,6,0
67,1/31/2024,4,4,579,12.507,10,0
68,2/1/2024,1,1,55733,1.547,4,0
69,2/1/2024,6,8,847,7.589,4,0
70,2/2/2024,3,4,805,12.694,6,0
71,2/3/2024,8,5,3476,4.197,11,0
72,2/3/2024,2,6,101,42.558,8,0
73,2/3/2024,4,10,387,3.198,7,0
74,2/4/2024,1,1,52251,1.453,2,0
75,2/5/2024,7,2,5348,2.905,10,1
76,2/7/2024,1,1,39906,1.457,4,0
77,2/7/2024,4,4,1109,13.189,6,0
78,2/8/2024,1,1,59947,1.471,3,0
79,2/8/2024,2,2,6211,2.632,7,0
80,2/9/2024,5,3,2099,5.91,,0
81,2/10/2024,2,6,79,43.435,6,0
82,2/10/2024,4,10,550,3.548,6,0
83,2/11/2024,6,8,1018,8.108,4,0
84,2/11/2024,8,9,37,129.096,15,0
85,2/11/2024,8,5,2917,3.878,8,0
86,2/11/2024,3,4,1151,11.909,6,0
87,2/12/2024,7,12,836,4.314,9,0
88,2/12/2024,7,2,6686,2.823,,0
89,2/12/2024,7,2,5017,2.772,14,0
90,2/13/2024,3,8,1213,8.277,7,0
91,2/14/2024,3,4,1308,13.465,5,0
92,2/14/2024,8,5,2174,4.474,11,0
93,2/14/2024,4,4,702,12.56,4,0
94,2/15/2024,5,3,2337,5.877,,0
95,2/16/2024,2,2,6011,2.953,10,0
96,2/16/2024,2,6,109,43.048,9,0
97,2/16/2024,6,8,984,8.608,6,0
98,2/17/2024,5,3,2052,5.159,16,0
99,2/17/2024,2,2,4439,2.976,7,0
100,2/17/2024,7,2,4903,2.764,8,0
101,2/18/2024,4,11,4120,1.813,6,0
102,2/18/2024,4,4,923,11.855,11,0
103,2/18/2024,1,1,60323,1.559,3,0
104,2/19/2024,3,4,1225,11.988,6,0
105,2/19/2024,5,3,2337,5.358,12,0
106,2/19/2024,7,12,1618,4.525,,0
107,2/20/2024,5,3,2522,5.392,16,0
108,2/20/2024,5,7,18550,0.799,13,0
109,2/21/2024,7,12,1465,4.27,11,0
110,2/21/2024,4,4,1072,12.621,10,0
111,2/22/2024,5,3,2042,5.824,9,0
112,2/22/2024,5,3,2160,5.723,7,0
113,2/23/2024,5,3,1576,5.823,8,0
114,2/24/2024,8,5,2379,4.226,8,0
115,2/24/2024,3,4,1205,11.949,4,0
116,2/25/2024,8,9,48,123.221,26,1
117,2/25/2024,6,10,473,3.579,6,0
118,2/26/2024,4,11,3388,1.807,6,0
119,2/27/2024,8,9,41,111.37,,0
120,2/27/2024,5,3,1830,5.518,19,0
121,2/27/2024,5,7,14402,0.714,7,0
122,2/27/2024,5,7,12575,0.737,10,0
